drug_a,drug_b,severity,interaction,alternative
Metformin,Amlodipine,Safe,No known harmful interaction.,None
Metformin,Ibuprofen,High,"Ibuprofen may affect kidney function in diabetes patients, increasing the risk of lactic acidosis with Metformin.",Paracetamol
Warfarin,Aspirin,High,"Increases risk of bleeding significantly. This combination should be avoided unless specifically prescribed by a doctor.",Consult Doctor
Lisinopril,Potassium Supplement,High,"Increases risk of hyperkalemia (dangerously high potassium levels), which can affect heart rhythm.",Consult Doctor
Atorvastatin,Grapefruit Juice,Moderate,"Grapefruit juice can increase the level of Atorvastatin in your blood, raising the risk of side effects like muscle pain.",None
Sertraline,Tramadol,High,"Increases risk of serotonin syndrome, a potentially life-threatening condition.",Consult Doctor
Ciprofloxacin,Tizanidine,High,"Ciprofloxacin can significantly increase the levels of Tizanidine, leading to low blood pressure and extreme drowsiness.",Consult Doctor
Simvastatin,Amiodarone,Moderate,"Increases the risk of myopathy and rhabdomyolysis (serious muscle problems). The dose of Simvastatin should be limited.",Consult Doctor
Digoxin,Verapamil,High,"Verapamil can increase the concentration of Digoxin in the blood, leading to a risk of Digoxin toxicity.",Consult Doctor
Sildenafil,Nitroglycerin,High,"Can cause a sudden and severe drop in blood pressure, which can be fatal. This combination is contraindicated.",Consult Doctor
Methotrexate,NSAIDs,High,"NSAIDs (like Ibuprofen, Naproxen) can reduce the clearance of Methotrexate, leading to toxicity.",Consult Doctor
Theophylline,Ciprofloxacin,High,"Ciprofloxacin can increase Theophylline levels, leading to toxicity (nausea, seizures).",Consult Doctor
Clopidogrel,Omeprazole,Moderate,"Omeprazole may reduce the antiplatelet effect of Clopidogrel, potentially increasing the risk of heart attack or stroke.",Pantoprazole
Levothyroxine,Calcium Carbonate,Moderate,"Calcium supplements can interfere with the absorption of Levothyroxine, reducing its effectiveness. Separate doses by at least 4 hours.",None
Warfarin,Ginkgo Biloba,Moderate,"Ginkgo Biloba can increase the anticoagulant effect of Warfarin, raising the risk of bleeding.",Consult Doctor
Amitriptyline,Alcohol,High,"Increases central nervous system depression, leading to extreme drowsiness, impaired coordination, and respiratory depression.",Avoid Alcohol
Warfarin,Paracetamol,Moderate,"Regular, high-dose use of Paracetamol can enhance the anticoagulant effect of Warfarin. Occasional use is generally safe.",Consult Doctor
Lisinopril,Ibuprofen,Moderate,"NSAIDs can reduce the blood pressure-lowering effect of ACE inhibitors like Lisinopril and may increase the risk of kidney damage.",Paracetamol
Atorvastatin,Clarithromycin,High,"This combination significantly increases the risk of myopathy and rhabdomyolysis (severe muscle breakdown).",Azithromycin
Doxycycline,Iron Supplements,Moderate,"Iron supplements can bind to Doxycycline in the gut and reduce its absorption and effectiveness. Separate doses by 2-3 hours.",None
Spironolactone,Losartan,High,"Increases the risk of dangerously high potassium levels (hyperkalemia), which can affect the heart.",Consult Doctor
Phenytoin,Fluconazole,High,"Fluconazole can significantly increase the levels of Phenytoin in the blood, leading to toxicity.",Consult Doctor
Metformin,Alcohol,High,"Increases the risk of lactic acidosis, a rare but serious side effect, especially with binge drinking.",Limit Alcohol Intake
Isotretinoin,Tetracycline,High,"Increases the risk of pseudotumor cerebri (increased pressure around the brain). This combination should be avoided.",Consult Doctor
MAOIs,Tyramine-rich foods,High,"Can cause a hypertensive crisis (a sudden, severe increase in blood pressure). MAOIs are a class of antidepressants.",Consult Doctor
SSRI,St. John's Wort,High,"Increases the risk of serotonin syndrome. SSRIs (like Sertraline, Fluoxetine) should not be taken with this supplement.",Consult Doctor
SSRI,Alcohol,High,"Alcohol can increase the drowsiness and sedative effects of SSRIs, impairing coordination and judgment. It can also worsen depression.",Avoid Alcohol
Benzodiazepines,Alcohol,High,"This combination can cause severe drowsiness, respiratory depression, coma, or death. Benzodiazepines (e.g., Alprazolam, Diazepam) are used for anxiety.",Avoid Alcohol
Opioids,Alcohol,High,"Greatly increases the risk of life-threatening respiratory depression. Opioids (e.g., Codeine, Tramadol) are strong painkillers.",Avoid Alcohol
Warfarin,Vitamin K,High,"Vitamin K (found in leafy green vegetables) can decrease the effect of Warfarin, increasing the risk of blood clots. Maintain a consistent diet.",Consult Doctor
ACE inhibitors,Potassium-sparing diuretics,High,"Combination of drugs like Lisinopril and Spironolactone significantly increases the risk of severe hyperkalemia.",Consult Doctor
Beta-blockers,Insulin,Moderate,"Beta-blockers (e.g., Metoprolol) can mask the symptoms of low blood sugar (hypoglycemia), which is dangerous for diabetics on Insulin.",Monitor blood sugar closely
Statins,Fibrates,High,"Combination of drugs like Atorvastatin and Gemfibrozil increases the risk of severe muscle damage (myopathy).",Consult Doctor
Digoxin,Diuretics,Moderate,"Diuretics (like Furosemide) can cause low potassium levels, which increases the risk of Digoxin toxicity.",Monitor potassium levels
Quinolone Antibiotics,Dairy products,Moderate,"Dairy products or calcium-fortified juices can reduce the absorption of antibiotics like Ciprofloxacin. Take 2 hours before or 6 hours after.",None
Warfarin,Fluconazole,High,"Fluconazole can significantly increase the anticoagulant effect of Warfarin, leading to a high risk of bleeding.",Consult Doctor
Lithium,Diuretics,High,"Diuretics can reduce the clearance of Lithium from the body, leading to toxic levels.",Consult Doctor
Allopurinol,Azathioprine,High,"Allopurinol increases the effects of Azathioprine, which can lead to severe bone marrow suppression.",Reduce Azathioprine dose
Colchicine,Clarithromycin,High,"This combination can lead to life-threatening Colchicine toxicity, especially in patients with kidney or liver problems.",Consult Doctor
Codeine,CYP2D6 inhibitors,High,"Drugs like Bupropion or Fluoxetine can prevent the conversion of Codeine to its active form, morphine, making it ineffective.",Consult Doctor
Tricyclic Antidepressants,MAOIs,High,"This combination can cause serotonin syndrome or hypertensive crisis. A 14-day washout period is required between them.",Consult Doctor
Paracetamol,Alcohol,High,"Chronic heavy alcohol use with Paracetamol increases the risk of severe liver damage, even at recommended doses.",Avoid Alcohol
Metformin,Iodinated contrast media,High,"Risk of lactic acidosis. Metformin should be stopped before receiving IV contrast for imaging scans and restarted 48 hours later.",Consult Doctor
Corticosteroids,NSAIDs,Moderate,"Increases the risk of gastrointestinal bleeding and ulceration. Use with caution.",Use a stomach-protecting agent
Aspirin,Ibuprofen,Moderate,"Ibuprofen can interfere with the antiplatelet (heart-protective) effect of low-dose Aspirin.",Separate doses by hours
Phenobarbital,Oral contraceptives,Moderate,"Phenobarbital can increase the metabolism of birth control pills, reducing their effectiveness and leading to unplanned pregnancy.",Use backup contraception
Rifampin,Warfarin,High,"Rifampin (an antibiotic) can significantly decrease the effectiveness of Warfarin, increasing the risk of clotting.",Monitor INR closely
Macrolide Antibiotics,Statins,High,"Antibiotics like Erythromycin and Clarithromycin can increase statin levels, leading to a high risk of muscle damage.",Temporarily stop statin
Grapefruit Juice,Calcium Channel Blockers,Moderate,"Grapefruit juice can increase levels of drugs like Nifedipine and Felodipine, causing low blood pressure.",Avoid Grapefruit Juice
Antacids,Tetracycline,Moderate,"Antacids containing aluminum, calcium, or magnesium can reduce the absorption of Tetracycline antibiotics. Separate doses by 2-4 hours.",None
