drug_a,drug_b,severity,interaction,alternative
Metformin,Ibuprofen,High,"Ibuprofen may affect kidney function in diabetes patients, increasing the risk of lactic acidosis with Metformin.",Paracetamol
Warfarin,Aspirin,High,"Increases risk of bleeding significantly. This combination should be avoided unless specifically prescribed by a doctor.",Consult Doctor
Lisinopril,Potassium Supplement,High,"Increases risk of hyperkalemia (dangerously high potassium levels), which can affect heart rhythm.",Consult Doctor
Atorvastatin,Grapefruit Juice,Moderate,"Grapefruit juice can increase the level of Atorvastatin in your blood, raising the risk of side effects like muscle pain.",None
Sertraline,Tramadol,High,"Increases risk of serotonin syndrome, a potentially life-threatening condition.",Consult Doctor
SSRI,Alcohol,High,"Can significantly increase drowsiness, dizziness, and impair coordination. It can also worsen feelings of depression or anxiety.",Avoid Alcohol
MAOI,Tyramine Foods,High,"Can cause a hypertensive crisis (dangerously high blood pressure). Avoid aged cheeses, cured meats, and soy products.",Consult Doctor
Sildenafil,Nitrates,High,"Can cause a severe and sudden drop in blood pressure. This combination is extremely dangerous.",Never combine
Digoxin,Amiodarone,High,"Amiodarone can increase digoxin levels, leading to toxicity. The digoxin dose must be reduced.",Consult Doctor
Simvastatin,Amiodarone,Moderate,"Increases the risk of myopathy and rhabdomyolysis (serious muscle problems). The dose of Simvastatin should be limited.",Consult Doctor
Ciprofloxacin,Tizanidine,High,"Ciprofloxacin can significantly increase the levels of Tizanidine, leading to low blood pressure and extreme drowsiness.",Consult Doctor
Theophylline,Ciprofloxacin,High,"Ciprofloxacin can increase theophylline levels, risking toxicity. Monitoring or dose adjustment is required.",Consult Doctor
Methotrexate,NSAIDs,High,"NSAIDs (like Ibuprofen, Naproxen) can reduce the clearance of methotrexate, leading to severe toxicity.",Consult Doctor
ACE inhibitors,Spironolactone,Moderate,"Increases risk of hyperkalemia (high potassium). Potassium levels should be monitored closely.",Consult Doctor
Benzodiazepines,Opioids,High,"Increases risk of profound sedation, respiratory depression, coma, and death. This combination should be avoided.",Consult Doctor
Clopidogrel,Omeprazole,Moderate,"Omeprazole may reduce the antiplatelet effect of clopidogrel, increasing the risk of blood clots.",Pantoprazole
Ibuprofen,Alcohol,Moderate,"Increases the risk of stomach upset, gastrointestinal bleeding, and ulcers. Should be used with caution.",Paracetamol
Aspirin,Alcohol,Moderate,"Increases the risk of gastrointestinal bleeding. Use together cautiously and for a short duration.",Paracetamol
Paracetamol,Alcohol,High,"Chronic heavy alcohol use with paracetamol increases the risk of severe liver damage, even at recommended doses.",Consult Doctor
Fever,General Advice,Info,"For most fevers in adults, common over-the-counter options include Paracetamol or Ibuprofen. However, the best choice depends on your health conditions and other medications. Always read the label.",Consult Doctor
Headache,General Advice,Info,"Simple painkillers like Paracetamol are often effective for tension headaches. Migraines may require different treatments. Staying hydrated and resting can also help.",Consult Doctor
Tetracycline,Dairy Products,Moderate,"Dairy products (milk, cheese, yogurt) can bind to tetracycline antibiotics in the stomach, preventing their absorption and reducing their effectiveness.",Take antibiotic 1-2 hours before or after dairy.
Levothyroxine,Calcium Carbonate,Moderate,"Calcium supplements can interfere with the absorption of levothyroxine, making it less effective. Separate doses by at least 4 hours.",Separate Doses
Warfarin,Vitamin K Foods,High,"Foods high in Vitamin K (like spinach, kale, broccoli) can counteract the effect of Warfarin, increasing the risk of blood clots. Maintain a consistent intake.",Maintain Consistent Diet
Statins,Niacin,Moderate,"High doses of Niacin combined with statins can increase the risk of muscle damage (myopathy).",Consult Doctor
ACE inhibitors,ARBs,High,"Combining ACE inhibitors (like Lisinopril) and ARBs (like Losartan) increases the risk of kidney damage and high potassium without significant benefit.",Avoid Combination
Beta-blockers,Insulin,Moderate,"Beta-blockers can mask the symptoms of low blood sugar (hypoglycemia), such as a rapid heartbeat, making it harder for diabetics to recognize.",Monitor blood sugar closely
Codeine,Antihistamines,Moderate,"Combining codeine with sedating antihistamines (like Diphenhydramine) can cause excessive drowsiness and respiratory depression.",Non-sedating antihistamine (Loratadine)
NSAIDs,Corticosteroids,Moderate,"Taking NSAIDs and corticosteroids (like Prednisone) together significantly increases the risk of stomach ulcers and bleeding.",Consult Doctor
Quinolone Antibiotics,Antacids,Moderate,"Antacids containing aluminum or magnesium can bind to quinolone antibiotics (like Ciprofloxacin), reducing their absorption.",Separate doses by 2-4 hours
SSRI,NSAIDs,Moderate,"SSRIs combined with NSAIDs can increase the risk of gastrointestinal bleeding.",Consult Doctor
Metronidazole,Alcohol,High,"Causes a disulfiram-like reaction, leading to severe nausea, vomiting, flushing, and headache. Avoid alcohol during and for 3 days after treatment.",Avoid Alcohol
Sulfonylureas,Alcohol,Moderate,"Alcohol can cause unpredictable effects on blood sugar levels and may cause flushing or nausea when taken with sulfonylurea diabetes drugs.",Limit Alcohol
Warfarin,Ginkgo Biloba,High,"Ginkgo Biloba can increase the blood-thinning effect of Warfarin, raising the risk of serious bleeding.",Avoid Combination
Digoxin,St. John's Wort,High,"St. John's Wort can reduce the levels of digoxin in the body, making it less effective and potentially dangerous for heart conditions.",Avoid Combination
Oral Contraceptives,St. John's Wort,High,"St. John's Wort can accelerate the breakdown of oral contraceptives, reducing their effectiveness and increasing the risk of unplanned pregnancy.",Use alternative birth control
Cyclosporine,St. John's Wort,High,"St. John's Wort can significantly decrease the levels of cyclosporine, increasing the risk of organ transplant rejection.",Avoid Combination
Amitriptyline,MAOI,High,"This combination can lead to serotonin syndrome or hypertensive crisis. A 14-day washout period is required when switching between them.",Never combine
